Generarion num,Best,Mean,Standard Deviation
0,4.503052849442961,10016.06949267231,10197.86793714714
1,4.254798093258682,7681.35482073485,9740.801971834226
2,0.4654097325234506,6935.9493850086865,9580.902508110064
3,0.4654097325234506,6468.916129446325,9690.164179418387
4,0.27465520381871095,6563.813331248234,9978.698170779242
5,0.07052625565049712,6738.805290306495,10403.887756664852
6,0.05860648356605874,6897.5032612030745,10501.746547354005
7,0.004651923845001036,6170.517179278073,9413.464329667564
8,0.004651923845001036,6662.388444278284,10476.966386402464
9,0.0012701902750558703,6353.7118563915,10154.087596550606
10,0.00013298696918288353,6873.264935503084,10653.535815764908
11,0.00013298696918288353,6518.943510822751,10103.30736919661
12,1.8099677388543577e-05,6233.972975546199,9615.56841574333
13,1.8099677388543577e-05,6557.267280856306,10183.578181408453
14,1.8099677388543577e-05,6854.560950688336,10735.266736976668
15,2.738571049545261e-06,6246.776920634917,9660.806663150961
16,1.5064134884501858e-06,6320.749878575341,9685.177684095886
17,1.5064134884501858e-06,6688.796000475299,10143.83857030687
18,1.4321552245599385e-07,6689.024401910482,10018.341051256743
19,1.4321552245599385e-07,6839.905949259863,10354.460184507978
20,5.589326930280849e-08,6544.298428547538,10091.074671546803
21,2.6273938935643606e-08,6632.79583939893,10058.167004303115
22,7.3082345957562974e-09,6790.986935396638,10118.962121671808
23,1.4545223477269267e-09,6441.928654797665,9626.700716017216
24,6.666987902975755e-10,6789.874295100505,10122.41351027365
25,3.2981481933240443e-10,6352.843115192897,10035.837774631858
26,3.33401103466221e-11,6424.471548526052,9655.178504521004
27,3.33401103466221e-11,6823.2661389063205,10459.424558921826
28,1.6836999086265053e-11,6728.583760970104,10481.406147691428
29,3.882379020036443e-12,6377.45568187313,10029.164744641244
30,2.395236320154864e-12,6700.329203045672,9804.199192674374
31,1.6331426121560873e-13,6882.745004025395,10625.565263059816
32,5.6444773227037087e-14,6342.152477832564,9662.52066044888
33,3.955060571384264e-15,6648.183055310359,10167.89149547442
34,3.0435101320739903e-15,6758.374193166239,10169.427837436559
35,3.0435101320739903e-15,6647.342659104425,10110.392628048501
36,1.8099519072452013e-15,6486.077259161964,9828.040930430652
37,2.3219748644979215e-16,6601.127306571974,9928.031166873074
38,1.0708327736038132e-16,6788.66193676233,10407.527888013095
39,1.0708327736038132e-16,6232.150028155839,9687.282452067668
40,1.9035274229112844e-17,6376.1997091569065,9473.028049651717
41,1.6450467045953908e-17,6432.592480219741,9798.256176086814
42,5.506964846490478e-18,6724.054261467627,10210.61090283377
43,5.974224221712378e-19,6544.202786362105,9804.10033123359
44,5.974224221712378e-19,6815.783540196925,10250.4557278375
45,1.1131909529490874e-19,6758.051845461845,10382.399705538237
46,9.500206955725969e-20,6430.708474092839,9947.685422402807
47,8.229390726947689e-20,6656.4135764350685,10065.06706662962
48,2.5330232426384473e-20,6780.890021469058,10569.870157636737
49,5.114434290562345e-21,6646.853782045406,10321.458847202206
