Generarion num,Best,Mean,Standard Deviation
1,1.811084441618422,1074.9911677357932,1330.15021916445
2,1.5303638721525779,599.4758572125181,895.9764957295849
3,0.9070237326039076,704.6430687927569,1028.9558538431681
4,0.9070237326039076,1034.578845035097,1266.5303688475828
5,0.90549231653172,735.0960977219332,838.2985543383131
6,0.8648868093997338,761.0993982082658,841.3386795793061
7,0.864573183933207,750.0667950106313,826.1237147369591
8,0.7999382725772669,746.48712401294,826.6842101655284
9,0.7995954971205587,787.4679467527609,896.0310485563916
10,0.7057733801052163,760.7165325415167,874.1843992709266
